ori,ff_shootings_total,shr_homicides_total,shr_police_total
NV0030000,2,13,1
NC0250000,1,17,0
TN0790200,1,2,0
CA0191800,2,1,1
LA0010000,1,18,0
WA0170800,3,8,4
CO0350400,4,15,3
AZ0030100,6,14,1
CA0200000,1,15,0
FL0521100,2,0,0
MA0091700,2,10,0
CA0480600,2,9,1
LA0530000,2,64,0
IL0560000,1,3,0
NC0680000,2,7,0
NB0770100,1,12,0
TX0940000,1,8,0
MS0180100,3,38,1
SC0430100,1,36,0
AL0010900,1,0,0
OH0210000,1,5,0
NJ0180800,1,11,0
CT0013800,1,7,0
VA1020000,1,14,0
LA0260100,1,7,0
NJ0080000,1,0,0
PA0670000,1,0,0
CA0334200,1,6,1
WV0200000,3,48,0
WY0110100,2,18,0
NJ0022300,2,7,2
AR0350100,2,122,1
CA0100100,2,5,1
TX0310000,1,14,0
CA0450200,12,27,6
MI6338900,1,6,0
GA0220000,4,10,0
WY0130100,6,12,2
NC0790000,1,21,0
CO0620000,3,11,1
SD0510000,3,5,0
WA0030100,3,14,0
NY0320000,1,1,0
TX0790100,1,13,0
NJ0120900,2,7,1
MI1323700,3,38,0
MN0690000,2,9,0
NV0130000,2,7,1
MO0490700,2,24,0
TN0060100,2,17,1
MS0230000,2,12,0
MI2539800,3,252,0
VA1120000,2,16,1
AZ0100700,1,3,1
CA0480700,6,89,0
UT0250600,1,9,0
MO0959A00,1,1,0
OR0090100,1,5,0
WA0321500,1,28,3
KY0300100,3,19,0
OK0550400,1,28,0
AZ0100900,5,9,3
VA0120000,1,1,0
TX0920000,1,10,0
LA0210000,1,13,0
UT0250300,2,6,0
TX1840000,2,13,0
CA0240600,1,38,1
ID0030200,1,9,0
MO0480100,1,12,0
WI0320100,1,10,1
GA0350000,1,0,0
CA0040200,4,11,2
CA0302200,2,7,0
CA0040000,5,28,3
WI0710300,1,11,1
NM0260000,3,2,0
IN0480200,1,27,0
LA0230000,2,0,0
NY0275400,2,7,1
WI0180100,4,11,4
IN0180100,6,28,1
WA0272300,5,25,0
MA0112700,1,6,0
IL0162500,1,4,0
ND0180100,1,12,1
NC0640000,1,8,0
WV0060200,1,46,0
GA0290000,5,0,0
WA0340000,4,22,0
AZ0080000,5,44,2
NC0920200,1,4,0
NJ0131900,1,1,0
CA0331100,1,19,0
WI0411500,3,6,2
GA0780000,1,4,0
GA0690100,3,18,2
CA0410600,1,5,0
MI4183400,2,24,2
ID0100200,3,10,0
TX2201300,1,2,0
NC0820000,2,22,0
OH0181800,1,24,0
PA0670200,1,57,0
MS0760100,2,22,0
AL0430200,1,1,0
MO0190000,2,6,1
LA0310000,1,12,0
OK0090000,1,3,0
VA0240000,4,2,0
LA0060000,2,3,0
CA0010700,1,8,1
TX1260000,1,12,0
PA0460100,1,3,0
TN0750200,1,9,0
ID0280100,3,10,0
TN0600000,1,10,0
TX1290000,2,24,0
IA0770500,2,6,2
FL0490100,1,0,0
MO0953000,1,23,0
CA0170000,2,18,0
TX0680000,5,29,1
NM0130200,4,11,0
CA0192800,1,27,1
MD0080000,4,11,0
CA0195600,2,8,0
SC0380000,1,72,0
TX2200900,2,12,2
CA0160000,5,14,1
CA0197500,3,15,1
TN0900000,2,10,0
CA0192400,3,32,3
MT0070100,5,17,0
IN0340100,1,35,0
FL0051100,2,0,0
MO0260100,3,21,0
GA0310000,2,0,0
TX2270900,1,10,0
MD0230000,1,5,1
NC0600600,2,10,0
NC0860000,1,14,0
MA0022200,1,17,0
FL0060400,1,0,0
AL0310200,1,5,0
UT0060000,2,3,0
TX1910000,1,6,0
NC0780100,1,27,0
OK0140000,1,9,0
NJ0130300,2,14,1
AL0430000,3,1,0
NC0490100,1,2,0
MO0490000,2,8,0
GA1410200,1,29,0
MA0072100,1,5,0
TX2460200,1,6,0
CA0430800,2,10,1
CA0411700,2,6,0
CA0370900,1,18,0
OK0600200,2,13,1
TX1990100,1,1,0
MA0110300,2,2,1
FL0030100,1,0,0
SD0490000,1,7,0
TX1650000,2,14,0
CA0411300,2,7,4
CA0300300,2,6,0
GA0330400,2,14,0
NC0630000,1,13,0
NC0920700,2,4,0
IN0030100,1,3,0
WI0600200,2,8,2
AZ0020000,1,11,1
OK0510100,5,15,1
AL0380000,2,1,0
NJ0061000,2,21,2
LA0240000,1,10,0
WA0110200,3,23,3
FL0641200,1,0,0
AR0040100,2,4,0
MI5072200,1,5,0
OK0240100,1,12,0
CT0010400,1,7,0
CA0190100,1,13,1
CA0070800,3,37,2
KS0461000,1,2,0
NV0100000,2,8,0
NC0140000,5,10,0
NM0030100,4,28,2
IL0810800,3,17,0
PA0230400,2,125,2
ME0100100,1,9,1
MN0190000,1,0,0
OH0570500,3,2,1
OH0470400,1,19,0
OH0600000,1,1,0
WI0670000,1,1,0
TX1011300,1,10,2
NB0550000,2,1,0
MO0950H00,1,3,0
VA0100000,1,12,0
AZ0110100,4,13,0
MI8234400,1,7,0
AZ0140000,3,43,0
AL0470200,1,0,0
TX0570800,1,19,0
NB0400100,2,9,0
TN0830100,1,16,1
TX1081400,1,7,0
WI0370300,2,14,2
NJ0090900,1,0,0
NM0130000,2,6,0
CA0196900,5,28,7
CA0011100,2,3,2
MN0271700,1,3,0
WA0171200,2,6,1
OH0670000,1,4,0
MI6381500,1,2,0
NC0120000,1,19,1
GA1410000,2,6,0
WI0650000,3,7,3
GA0510000,2,2,0
NC0810000,2,7,0
OH0700100,4,26,0
CO0010200,1,5,0
NJ0043600,2,6,1
AL0570100,1,6,0
AL0011000,4,0,0
GA0600100,1,45,0
TX2210000,1,1,0
CA0011200,3,14,0
CA0360800,6,17,3
CA0071200,1,6,1
MN0190100,3,8,2
NC0970000,3,21,0
NC0710000,1,3,0
KS0850100,1,11,0
TN0600100,1,15,1
TN0320100,3,7,0
TN0820100,2,11,2
AL0110100,1,7,0
GA0605800,1,5,1
CA0440200,1,13,1
GA0570100,2,13,0
MI6371400,2,5,0
TX2200300,1,7,0
IL0010300,1,5,1
MS0360100,2,8,0
TX2530000,1,1,0
CA0349600,5,17,0
GA0447200,1,12,0
WI0370000,4,5,1
MI1111100,2,4,0
MI1311300,3,5,0
CO0030200,1,6,0
TX0611500,1,7,0
AZ0130700,1,9,0
MS0450000,3,23,0
CO0030100,3,9,0
FL0030600,2,0,0
CA0390300,1,17,1
MI5074000,2,4,0
VA0080000,1,13,1
CA0540600,1,28,0
MN0190800,2,10,1
ID0140100,2,4,0
OR0220000,1,10,0
SC0220000,1,26,0
UT0180200,1,10,0
IL0161700,1,19,0
TN0740000,1,10,0
LA0550100,5,30,0
GA0670300,1,10,0
VA1310000,1,6,0
GA0220100,1,5,0
CA0194800,1,4,0
AZ0080400,4,9,1
TX0571000,3,6,0
IL0820200,2,10,0
TX0790300,2,20,0
GA0600200,1,55,0
TN0220000,1,5,0
AR0460100,1,23,0
CA0470000,4,15,0
NC0230200,1,6,0
UT0060300,1,10,0
ID0100000,4,7,0
CA0194700,2,17,3
OR0020100,1,5,0
CA0570400,2,11,0
CA0440300,1,12,1
TX2201600,1,9,1
AR0630100,2,11,3
WI0540100,1,21,1
IL0161900,1,29,1
NY0070100,3,13,2
GA0890000,1,5,0
GA0170000,1,9,0
CA0330800,6,45,2
CA0011300,1,8,0
CA0390200,2,26,1
CA0431200,1,5,0
VA0820000,1,10,0
NJ0151800,1,7,1
NC0440000,2,6,0
CA0520000,3,16,0
AZ0080500,1,7,0
MO0160100,1,29,0
WI0680400,1,2,1
NC0800500,3,50,1
PA0462900,1,0,0
UT0180400,2,23,0
NM0240000,5,8,0
OR0340400,2,5,0
AZ0111700,2,9,0
GA0230000,2,7,0
MI4185000,4,7,1
VT0040100,2,7,0
MS0380100,3,49,0
TX0030400,3,17,0
NJ0080200,1,5,1
NC0530100,2,5,0
MA0053000,1,3,0
IL0164300,1,1,0
AR0180100,4,64,0
GA1020000,2,1,0
AR0350000,1,19,0
OR0200000,3,9,0
IN0640000,2,2,0
CO0180500,1,1,0
IL0570200,1,7,0
OH0185100,1,2,0
VA0940000,2,15,0
WA0270100,2,11,0
ND0090300,1,6,1
TX0700500,1,2,0
KY0240100,1,23,0
VA1090000,1,21,1
AL0110500,1,0,0
IN0410300,1,8,1
GA1460000,4,5,0
SC0160000,3,49,0
TN0600300,1,7,1
TX0910400,2,16,0
SC0110000,1,13,0
KS0780100,2,7,0
IN0640200,1,0,0
TN0370000,3,8,0
TX0360000,1,17,0
LA0590000,2,12,0
NM0080200,4,23,0
WV0540100,1,20,0
MI2312300,4,11,0
AZ0030000,2,16,0
FL0290100,2,0,0
MO0957300,1,21,0
LA0430000,1,10,0
IA0770100,1,6,0
WA0310500,1,12,0
CA0200200,2,24,2
ID0140000,2,6,0
OR0100000,1,11,0
AZ0111300,2,10,0
NY0050100,1,1,0
NV0040000,1,11,2
WA0172300,1,11,0
GA0200000,2,0,0
CA0330900,1,27,1
NY0370000,1,4,1
CA0540500,1,14,0
TX0430800,1,2,0
TX2490000,1,18,0
MT0160100,1,9,0
CA0050000,2,13,1
PA0360800,1,4,1
CO0010600,5,8,0
IN0220100,1,2,0
KY1050100,1,23,0
MA0094300,1,0,0
GA1120000,2,0,0
NY0350100,1,8,1
NJ0060100,1,24,1
TN0780200,1,5,0
CA0301200,2,4,0
MT0160000,1,4,0
WA0170300,1,6,1
NC0310000,1,17,0
OH0090100,2,12,2
TN0100000,1,4,0
OK0721000,1,10,0
GA0560200,1,3,0
TN0750300,1,9,0
KY0470100,4,13,0
TX2370000,1,8,0
TN0010300,2,10,2
NY0350200,1,23,0
NM0080000,2,1,0
MI6380800,2,14,1
CA0370800,1,12,0
ME0030000,1,0,0
WA0310400,2,2,0
GA1080000,1,5,0
WI0411000,1,4,1
GA0440400,4,9,0
FL0050200,4,0,0
WV0020000,2,15,0
MN0100000,2,6,1
CA0280200,5,8,4
IN0490200,1,18,0
MD0180000,1,3,1
FL0640400,1,0,0
IL0190800,1,11,0
TX2360100,1,7,0
OH0230100,1,4,0
OH0320100,1,13,0
WI0410800,2,2,0
OK0740100,3,14,2
NC0880000,1,4,0
TN0220100,1,5,1
TX1010900,1,10,0
TN0780300,1,3,0
TX2430000,2,4,0
MI4714700,1,2,0
PA0671500,2,7,3
CA0310400,1,2,0
CA0510200,1,15,1
CA0290000,4,15,1
